model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,N_events_before_ECAL_primary,N_events_before_ECAL_cascade,N_events_before_ECAL_inclusive,valid_mother_samples,samples_passing_ECAL,template_model_seed
ALP-SU2L,0.4,388.7603265180439,4.0,2.955449158844845e-10,10.669993241462082,16.02140425646239,0.6659836472922301,True,,,10.669993241462082,,,16.02140425646239,611342,445070,64421
ALP-SU2L,0.4,395.260546709984,4.0,2.9068455973245207e-10,10.322083968156432,15.499387784955516,0.6659672053741094,True,,,10.322083968156432,,,15.499387784955516,611342,445070,64421
ALP-SU2L,0.4,398.55130123826865,4.0,2.8828443827187726e-10,10.152405842300523,15.244790064297014,0.6659590456465024,True,,,10.152405842300523,,,15.244790064297014,611342,445070,64421
ALP-SU2L,0.4,400.20693827209175,4.0,2.8709181928746246e-10,10.068615400470074,15.119063129937302,0.6659549810684485,True,,,10.068615400470074,,,15.119063129937302,611342,445070,64421
ALP-SU2L,0.4,401.0373341602427,4.0,2.8649736125088767e-10,10.026979811080844,15.056588865570113,0.665952952598017,True,,,10.026979811080844,,,15.056588865570113,611342,445070,64421
ALP-SU2L,0.4,401.4531780067766,4.0,2.86200593978261e-10,10.006226611241129,15.025448565405734,0.6659519393170895,True,,,10.006226611241129,,,15.025448565405734,611342,445070,64421
ALP-SU2L,0.4,401.5572063254874,4.0,2.8612645020463024e-10,10.001045024829708,15.017673554451104,0.6659516860962454,True,,,10.001045024829708,,,15.017673554451104,611342,445070,64421
ALP-SU2L,0.4,401.5702117605827,4.0,2.8611718358358065e-10,10.00039751517988,15.016701960884241,0.6659516544464347,True,,,10.00039751517988,,,15.016701960884241,611342,445070,64421
ALP-SU2L,0.4,401.58321761689155,4.0,2.8610791726264413e-10,9.999750047443603,15.015730430148842,0.6659516227972455,False,,,9.999750047443603,,,15.015730430148842,611342,445070,64421
ALP-SU2L,0.4,401.6092305932045,4.0,2.860893855210711e-10,9.9984552377008,15.013787557156157,0.6659515595007302,False,,,9.9984552377008,,,15.013787557156157,611342,445070,64421
ALP-SU2L,0.4,401.6612616009933,4.0,2.860523256388534e-10,9.99586612105832,15.00990256496958,0.6659514329151528,False,,,9.99586612105832,,,15.00990256496958,611342,445070,64421
ALP-SU2L,0.4,401.8694530503338,4.0,2.859041341109581e-10,9.985516355882663,14.994372642111452,0.6659509266722171,False,,,9.985516355882663,,,14.994372642111452,611342,445070,64421
ALP-SU2L,0.4,415.42062365635616,4.0,2.765778381167813e-10,9.344939687671639,14.033150715241328,0.665918857232977,False,,,9.344939687671639,,,14.033150715241328,611342,445070,64421
ALP-SU2L,0.4,474.3515059879998,4.0,2.4221729360949193e-10,7.165302311853106,10.766024949847493,0.6655476227513857,False,,,7.165302311853106,,,10.766024949847493,611343,444990,64421
ALP-SU2L,0.4,806.3975601795996,4.0,1.4248076094675994e-10,2.484944761793469,3.728595202413829,0.6664560315329371,False,,,2.484944761793469,,,3.728595202413829,611347,445593,64421
ALP-SU2L,0.4,1000.0,4.0,1.14896138e-10,1.6146339655011657,2.4252581250822587,0.6657575739268583,False,,,1.6146339655011657,,,2.4252581250822587,611347,445363,64421
ALP-photon-combined,0.4,4.0,4.0,1.5314137523943464e-13,7582.764232594722,24267.908698215117,0.31246055549699786,True,3835.3171216826277,3747.4471109120946,,8104.819034829894,16163.089663385223,,1741998,783239,64321
ALP-photon-combined,0.4,6.8,4.0,9.008316190554979e-14,3217.949362936304,12356.974412731408,0.2604156369880354,True,1530.2444900591577,1687.7048728771465,,3529.8994344123507,8827.074978319057,,1748308,796204,64321
