profile,benchmark_source,selection_name,panel_label,mass_GeV,ctau_m,model_id,model_label,source,bin_index,energy_low_GeV,energy_high_GeV,bin_probability,density_per_GeV,density_error_per_GeV,bin_N_eff,expected_events,expected_events_before_ECAL,weighted_ECAL_efficiency,total_N_eff,accepted_samples,cache_key
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,33,34.64023430319652,40.00180566216164,0.017447777755794695,0.003254228394558279,1.6394992707131432e-05,39397.94818507124,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,34,40.00180566216164,46.19323420932204,0.013458249972384033,0.0021736905901234105,1.152503621311808e-05,35572.210475051324,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,35,46.19323420932204,53.3429641836316,0.0100110985772776,0.0014002065271345246,7.929445536943955e-06,31181.611378906087,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,36,53.3429641836316,61.59932025980484,0.007354971854663949,0.0008908254182361916,5.4119125370270905e-06,27094.657299132276,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,37,61.59932025980484,71.13358461685092,0.005169796102842136,0.0005422333500771367,3.6333848671107645e-06,22271.50905666317,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,38,71.13358461685092,82.14355027135687,0.003456205962736506,0.00031391614390023246,2.384985947605406e-06,17324.298290615654,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,39,82.14355027135687,94.85762439117252,0.0024193414980541355,0.00019028845319404316,1.5957140968741318e-06,14220.494814597152,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,40,94.85762439117252,109.53956671476264,0.001596310026934187,0.00010872607940771744,1.0358036732497574e-06,11018.248480621354,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,41,109.53956671476264,126.49396137707384,0.0010757493411203657,6.344958711570543e-05,6.798057184543431e-07,8711.400362941393,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,42,126.49396137707384,146.07253565764043,0.0005963234937693607,3.0457963139903552e-05,4.0607458538540554e-07,5625.875206761967,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
