mass_GeV,photon_lifetime_index,photon_ctau_m,photon_N_events,su2_lifetime_index,su2_ctau_m,su2_N_events,D_TV
0.4,6,12.363655755398659,1124.5588983900093,3,8.269654532532142,22627.898699921483,0.8464264716199469
0.4,6,12.363655755398659,1124.5588983900093,4,10.534885644820253,14058.326548255704,0.8463361362954906
0.4,6,12.363655755398659,1124.5588983900093,5,13.420610874715353,8729.21013367378,0.8460553915793521
0.4,6,12.363655755398659,1124.5588983900093,6,17.096796521857346,5415.905086793296,0.8454553276088161
0.4,6,12.363655755398659,1124.5588983900093,7,21.779966205598896,3349.491902041357,0.8460923648740707
0.4,6,12.363655755398659,1124.5588983900093,8,27.745953887359985,2073.473391193686,0.8450944980923338
0.4,6,12.363655755398659,1124.5588983900093,9,35.34615021218933,1278.915510333941,0.8455661446686786
0.4,6,12.363655755398659,1124.5588983900093,10,45.028199062631984,790.659682755792,0.8454599797363709
0.4,6,12.363655755398659,1124.5588983900093,11,57.36236333100857,487.89581076918586,0.8453504862453735
0.4,6,12.363655755398659,1124.5588983900093,12,73.07511282744834,300.8949380712456,0.8453953831129805
0.4,6,12.363655755398659,1124.5588983900093,13,93.09191261751351,185.66427257494215,0.8448079536153511
0.4,6,12.363655755398659,1124.5588983900093,14,118.5917319792576,114.44934168406019,0.8452901815711202
0.4,6,12.363655755398659,1124.5588983900093,15,151.07648450220142,70.56248854719546,0.8451438345098811
0.4,6,12.363655755398659,1124.5588983900093,16,192.45948927987664,43.512831260563814,0.8452700514593888
0.4,6,12.363655755398659,1124.5588983900093,17,245.17816347077607,26.848559313532153,0.8452069747498022
0.4,6,12.363655755398659,1124.5588983900093,18,312.33758370566323,16.530944855505258,0.8450351600955153
0.4,6,12.363655755398659,1124.5588983900093,19,397.89337196303796,10.185993754971243,0.8448819209581516
0.4,7,14.922035077432518,797.1350048314043,0,4.0,92383.67598159559,0.8521155888982082
0.4,7,14.922035077432518,797.1350048314043,1,5.095683551653521,58037.14612058649,0.8507002087213363
0.4,7,14.922035077432518,797.1350048314043,2,6.491497714648063,36278.59240626878,0.8499978209838943
0.4,7,14.922035077432518,797.1350048314043,3,8.269654532532142,22627.898699921483,0.8496462085875093
0.4,7,14.922035077432518,797.1350048314043,4,10.534885644820253,14058.326548255704,0.8495245489276401
0.4,7,14.922035077432518,797.1350048314043,5,13.420610874715353,8729.21013367378,0.8492751285469148
0.4,7,14.922035077432518,797.1350048314043,6,17.096796521857346,5415.905086793296,0.8486750645763788
0.4,7,14.922035077432518,797.1350048314043,7,21.779966205598896,3349.491902041357,0.8493121018416334
0.4,7,14.922035077432518,797.1350048314043,8,27.745953887359985,2073.473391193686,0.8483142350598964
0.4,7,14.922035077432518,797.1350048314043,9,35.34615021218933,1278.915510333941,0.8487858816362412
0.4,7,14.922035077432518,797.1350048314043,10,45.028199062631984,790.659682755792,0.8486797167039335
0.4,7,14.922035077432518,797.1350048314043,11,57.36236333100857,487.89581076918586,0.848570223212936
0.4,7,14.922035077432518,797.1350048314043,12,73.07511282744834,300.8949380712456,0.8486151200805432
0.4,7,14.922035077432518,797.1350048314043,13,93.09191261751351,185.66427257494215,0.8480276905829136
0.4,7,14.922035077432518,797.1350048314043,14,118.5917319792576,114.44934168406019,0.8485099185386829
0.4,7,14.922035077432518,797.1350048314043,15,151.07648450220142,70.56248854719546,0.8483635714774436
0.4,7,14.922035077432518,797.1350048314043,16,192.45948927987664,43.512831260563814,0.8484897884269512
0.4,7,14.922035077432518,797.1350048314043,17,245.17816347077607,26.848559313532153,0.8484267117173648
0.4,7,14.922035077432518,797.1350048314043,18,312.33758370566323,16.530944855505258,0.8482548970630778
0.4,7,14.922035077432518,797.1350048314043,19,397.89337196303796,10.185993754971243,0.8481016579257143
0.4,8,18.009813218464746,562.8084504025721,0,4.0,92383.67598159559,0.8543506545266294
0.4,8,18.009813218464746,562.8084504025721,1,5.095683551653521,58037.14612058649,0.8534526263304947
0.4,8,18.009813218464746,562.8084504025721,2,6.491497714648063,36278.59240626878,0.8528663532601758
0.4,8,18.009813218464746,562.8084504025721,3,8.269654532532142,22627.898699921483,0.8525147408637909
0.4,8,18.009813218464746,562.8084504025721,4,10.534885644820253,14058.326548255704,0.8523930812039215
0.4,8,18.009813218464746,562.8084504025721,5,13.420610874715353,8729.21013367378,0.8521436608231964
0.4,8,18.009813218464746,562.8084504025721,6,17.096796521857346,5415.905086793296,0.8515435968526602
0.4,8,18.009813218464746,562.8084504025721,7,21.779966205598896,3349.491902041357,0.8521806341179149
0.4,8,18.009813218464746,562.8084504025721,8,27.745953887359985,2073.473391193686,0.8511827673361779
0.4,8,18.009813218464746,562.8084504025721,9,35.34615021218933,1278.915510333941,0.8516544139125225
0.4,8,18.009813218464746,562.8084504025721,10,45.028199062631984,790.659682755792,0.8515482489802151
0.4,8,18.009813218464746,562.8084504025721,11,57.36236333100857,487.89581076918586,0.8514387554892175
0.4,8,18.009813218464746,562.8084504025721,12,73.07511282744834,300.8949380712456,0.8514836523568245
0.4,8,18.009813218464746,562.8084504025721,13,93.09191261751351,185.66427257494215,0.8508962228591951
0.4,8,18.009813218464746,562.8084504025721,14,118.5917319792576,114.44934168406019,0.8513784508149642
0.4,8,18.009813218464746,562.8084504025721,15,151.07648450220142,70.56248854719546,0.851232103753725
0.4,8,18.009813218464746,562.8084504025721,16,192.45948927987664,43.512831260563814,0.8513583207032327
0.4,8,18.009813218464746,562.8084504025721,17,245.17816347077607,26.848559313532153,0.8512952439936461
0.4,8,18.009813218464746,562.8084504025721,18,312.33758370566323,16.530944855505258,0.8511234293393591
0.4,8,18.009813218464746,562.8084504025721,19,397.89337196303796,10.185993754971243,0.8509701902019959
0.4,9,21.736537307469963,395.26642763305347,0,4.0,92383.67598159559,0.8564157361733924
0.4,9,21.736537307469963,395.26642763305347,1,5.095683551653521,58037.14612058649,0.8555177079772577
0.4,9,21.736537307469963,395.26642763305347,2,6.491497714648063,36278.59240626878,0.8549314349069387
0.4,9,21.736537307469963,395.26642763305347,3,8.269654532532142,22627.898699921483,0.8545798225105539
0.4,9,21.736537307469963,395.26642763305347,4,10.534885644820253,14058.326548255704,0.8544581628506844
0.4,9,21.736537307469963,395.26642763305347,5,13.420610874715353,8729.21013367378,0.854208742469959
