mass_GeV,photon_lifetime_index,photon_ctau_m,photon_N_events,su2_lifetime_index,su2_ctau_m,su2_N_events,D_TV
1.0,3,10.554047257150385,16.928564616670585,5,20.159763280511214,494.3998426290012,0.5660176229031945
1.0,3,10.554047257150385,16.928564616670585,6,23.19436642592759,375.38147249909196,0.5665489941064131
1.0,3,10.554047257150385,16.928564616670585,7,26.685761455357454,284.9022484258861,0.5657804697160483
1.0,3,10.554047257150385,16.928564616670585,8,30.702708208325753,216.44223093268712,0.5645433176242778
1.0,3,10.554047257150385,16.928564616670585,9,35.32431678603439,163.63642114923914,0.5644315673196119
1.0,3,10.554047257150385,16.928564616670585,10,40.64160555262483,124.30524428237631,0.5642462370923399
1.0,3,10.554047257150385,16.928564616670585,11,46.75929365881369,94.1221596565948,0.5642120826551208
1.0,3,10.554047257150385,16.928564616670585,12,53.79786339001967,71.28626479956012,0.5638580814323179
1.0,3,10.554047257150385,16.928564616670585,13,61.895932955045545,53.92215775429876,0.5635750728115498
1.0,3,10.554047257150385,16.928564616670585,14,71.21298644522419,40.81591000600566,0.5626743421058964
1.0,3,10.554047257150385,16.928564616670585,15,81.93251472808262,30.854652345020813,0.5623033961729221
1.0,3,10.554047257150385,16.928564616670585,16,94.26562913255931,23.336583240384698,0.562913422491187
1.0,3,10.554047257150385,16.928564616670585,17,108.4552190940077,17.66881653401165,0.5624050939929625
1.0,3,10.554047257150385,16.928564616670585,18,124.78073564001106,13.368264416402367,0.5629822788513292
1.0,3,10.554047257150385,16.928564616670585,19,143.5636949233974,10.116971194940728,0.5613450374655994
1.0,4,10.745469091196195,16.41191145538426,0,10.000000000000002,1921.6810815874742,0.5739247375801875
1.0,4,10.745469091196195,16.41191145538426,1,11.505277171756266,1468.8995706815508,0.572624603576305
1.0,4,10.745469091196195,16.41191145538426,2,13.237140279893586,1120.3334380425877,0.5710661798237497
1.0,4,10.745469091196195,16.41191145538426,3,15.229696788159503,854.3708894711252,0.5701596299045866
1.0,4,10.745469091196195,16.41191145538426,4,17.522188278958126,650.2591289941049,0.5690417443306928
1.0,4,10.745469091196195,16.41191145538426,5,20.159763280511214,494.3998426290012,0.5671219651072512
1.0,4,10.745469091196195,16.41191145538426,6,23.19436642592759,375.38147249909196,0.5676533363104699
1.0,4,10.745469091196195,16.41191145538426,7,26.685761455357454,284.9022484258861,0.566884811920105
1.0,4,10.745469091196195,16.41191145538426,8,30.702708208325753,216.44223093268712,0.5656476598283346
1.0,4,10.745469091196195,16.41191145538426,9,35.32431678603439,163.63642114923914,0.5655359095236685
1.0,4,10.745469091196195,16.41191145538426,10,40.64160555262483,124.30524428237631,0.5653505792963968
1.0,4,10.745469091196195,16.41191145538426,11,46.75929365881369,94.1221596565948,0.5653164248591775
1.0,4,10.745469091196195,16.41191145538426,12,53.79786339001967,71.28626479956012,0.5649624236363749
1.0,4,10.745469091196195,16.41191145538426,13,61.895932955045545,53.92215775429876,0.5646794150156067
1.0,4,10.745469091196195,16.41191145538426,14,71.21298644522419,40.81591000600566,0.563778684309953
1.0,4,10.745469091196195,16.41191145538426,15,81.93251472808262,30.854652345020813,0.563407738376979
1.0,4,10.745469091196195,16.41191145538426,16,94.26562913255931,23.336583240384698,0.5640177646952438
1.0,4,10.745469091196195,16.41191145538426,17,108.4552190940077,17.66881653401165,0.5635094361970193
1.0,4,10.745469091196195,16.41191145538426,18,124.78073564001106,13.368264416402367,0.5640866210553862
1.0,4,10.745469091196195,16.41191145538426,19,143.5636949233974,10.116971194940728,0.5624493796696564
1.0,5,10.940362798889787,15.873072041194682,0,10.000000000000002,1921.6810815874742,0.5741735709863688
1.0,5,10.940362798889787,15.873072041194682,1,11.505277171756266,1468.8995706815508,0.572873436982486
1.0,5,10.940362798889787,15.873072041194682,2,13.237140279893586,1120.3334380425877,0.571315013229931
1.0,5,10.940362798889787,15.873072041194682,3,15.229696788159503,854.3708894711252,0.570408463310768
1.0,5,10.940362798889787,15.873072041194682,4,17.522188278958126,650.2591289941049,0.5692905777368739
1.0,5,10.940362798889787,15.873072041194682,5,20.159763280511214,494.3998426290012,0.5673707985134324
1.0,5,10.940362798889787,15.873072041194682,6,23.19436642592759,375.38147249909196,0.5679021697166513
1.0,5,10.940362798889787,15.873072041194682,7,26.685761455357454,284.9022484258861,0.5671336453262863
1.0,5,10.940362798889787,15.873072041194682,8,30.702708208325753,216.44223093268712,0.5658964932345159
1.0,5,10.940362798889787,15.873072041194682,9,35.32431678603439,163.63642114923914,0.5657847429298499
1.0,5,10.940362798889787,15.873072041194682,10,40.64160555262483,124.30524428237631,0.5655994127025781
1.0,5,10.940362798889787,15.873072041194682,11,46.75929365881369,94.1221596565948,0.5655652582653589
1.0,5,10.940362798889787,15.873072041194682,12,53.79786339001967,71.28626479956012,0.5652112570425561
1.0,5,10.940362798889787,15.873072041194682,13,61.895932955045545,53.92215775429876,0.564928248421788
1.0,5,10.940362798889787,15.873072041194682,14,71.21298644522419,40.81591000600566,0.5640275177161344
1.0,5,10.940362798889787,15.873072041194682,15,81.93251472808262,30.854652345020813,0.5636565717831603
1.0,5,10.940362798889787,15.873072041194682,16,94.26562913255931,23.336583240384698,0.5642665981014249
1.0,5,10.940362798889787,15.873072041194682,17,108.4552190940077,17.66881653401165,0.5637582696032007
1.0,5,10.940362798889787,15.873072041194682,18,124.78073564001106,13.368264416402367,0.5643354544615675
1.0,5,10.940362798889787,15.873072041194682,19,143.5636949233974,10.116971194940728,0.5626982130758376
1.0,6,11.13879135061635,15.354045436844338,0,10.000000000000002,1921.6810815874742,0.5743550276327218
1.0,6,11.13879135061635,15.354045436844338,1,11.505277171756266,1468.8995706815508,0.5730548936288394
1.0,6,11.13879135061635,15.354045436844338,2,13.237140279893586,1120.3334380425877,0.5714964698762841
1.0,6,11.13879135061635,15.354045436844338,3,15.229696788159503,854.3708894711252,0.570589919957121
1.0,6,11.13879135061635,15.354045436844338,4,17.522188278958126,650.2591289941049,0.569472034383227
1.0,6,11.13879135061635,15.354045436844338,5,20.159763280511214,494.3998426290012,0.5675522551597856
1.0,6,11.13879135061635,15.354045436844338,6,23.19436642592759,375.38147249909196,0.5680836263630044
1.0,6,11.13879135061635,15.354045436844338,7,26.685761455357454,284.9022484258861,0.5673151019726395
1.0,6,11.13879135061635,15.354045436844338,8,30.702708208325753,216.44223093268712,0.5660779498808689
1.0,6,11.13879135061635,15.354045436844338,9,35.32431678603439,163.63642114923914,0.565966199576203
1.0,6,11.13879135061635,15.354045436844338,10,40.64160555262483,124.30524428237631,0.565780869348931
1.0,6,11.13879135061635,15.354045436844338,11,46.75929365881369,94.1221596565948,0.565746714911712
1.0,6,11.13879135061635,15.354045436844338,12,53.79786339001967,71.28626479956012,0.5653927136889093
1.0,6,11.13879135061635,15.354045436844338,13,61.895932955045545,53.92215775429876,0.5651097050681411
1.0,6,11.13879135061635,15.354045436844338,14,71.21298644522419,40.81591000600566,0.5642089743624875
1.0,6,11.13879135061635,15.354045436844338,15,81.93251472808262,30.854652345020813,0.5638380284295134
1.0,6,11.13879135061635,15.354045436844338,16,94.26562913255931,23.336583240384698,0.5644480547477783
1.0,6,11.13879135061635,15.354045436844338,17,108.4552190940077,17.66881653401165,0.5639397262495539
1.0,6,11.13879135061635,15.354045436844338,18,124.78073564001106,13.368264416402367,0.5645169111079206
1.0,6,11.13879135061635,15.354045436844338,19,143.5636949233974,10.116971194940728,0.5628796697221908
1.0,7,11.340818858873345,14.856334864126506,0,10.000000000000002,1921.6810815874742,0.5748627280472173
1.0,7,11.340818858873345,14.856334864126506,1,11.505277171756266,1468.8995706815508,0.5735625940433351
1.0,7,11.340818858873345,14.856334864126506,2,13.237140279893586,1120.3334380425877,0.5720041702907797
1.0,7,11.340818858873345,14.856334864126506,3,15.229696788159503,854.3708894711252,0.5710976203716168
1.0,7,11.340818858873345,14.856334864126506,4,17.522188278958126,650.2591289941049,0.5699797347977228
1.0,7,11.340818858873345,14.856334864126506,5,20.159763280511214,494.3998426290012,0.5680599555742814
1.0,7,11.340818858873345,14.856334864126506,6,23.19436642592759,375.38147249909196,0.5685913267775
1.0,7,11.340818858873345,14.856334864126506,7,26.685761455357454,284.9022484258861,0.5678228023871351
1.0,7,11.340818858873345,14.856334864126506,8,30.702708208325753,216.44223093268712,0.5665856502953645
1.0,7,11.340818858873345,14.856334864126506,9,35.32431678603439,163.63642114923914,0.5664738999906986
