"m_S [GeV]","K","K_star(892)","K_star(1410)","K_star(1680)","K_1(1270)","K_1(1400)","K_0star(800)","K_0star(1430)","K_2(1430)","Pi"
0.7100000000000001,0.4301361501211266,0.47372481923108406,0.20114016981854912,0.12623224342408915,0.9048430471587293,0.014160348008226513,0.7418439411057937,0.09373516679091505,0.2931880130333432,0.012426300427799344
0.73,0.43033186679908136,0.473723292119,0.2007222450052703,0.12590033796668737,0.9044343533871916,0.01406069284266003,0.7418754702843893,0.0942745022598465,0.29260055450263944,0.012432288866302614
0.75,0.43053309861645356,0.4737212414840844,0.20029260586510958,0.12555916239179296,0.9040111660162644,0.013958417001206655,0.7419046846904339,0.09483295488316247,0.2919952415534171,0.01243844749168229
0.77,0.43073985157151246,0.4737186247969718,0.19985124370725196,0.12520871283548765,0.903573213648676,0.01385353514922777,0.7419313051081853,0.09541089914354814,0.29137194945689304,0.01244477661470454
0.79,0.4309521317583926,0.47371539795651485,0.19939814960274704,0.12484898537231325,0.9031202157107171,0.013746062704040121,0.7419550424505106,0.09600872453052194,0.2907305503685246,0.012451276553795354
0.81,0.43116994536097863,0.4737115152523652,0.19893331438456432,0.12447997601947355,0.9026518822948375,0.013636015865615272,0.7419755975677041,0.09662683596878771,0.29007091335793184,0.012457947634968103
0.8300000000000001,0.4313932986465094,0.4737069293260604,0.19845672864769826,0.12410168074125913,0.9021679139967291,0.013523411648369007,0.7419926610507434,0.0972656542620217,0.28939290444095056,0.012464790191747193
0.85,0.4316221979588974,0.47370159113057286,0.19796838274932366,0.12371409545370618,0.901668001746787,0.013408267914059713,0.7420059130289739,0.09792561655221606,0.28869638661393554,0.012471804565087823
0.87,0.4318566497117489,0.4736954498882625,0.1974682668090126,0.1233172160294995,0.9011518266358203,0.01329060340581451,0.7420150229622184,0.09860717679466668,0.28798121989044934,0.012478991103291568
0.89,0.432096660381075,0.4736884530471999,0.19695637070901278,0.12291103830313432,0.900619059734895,0.013170437783300785,0.7420196494273066,0.09931080624864164,0.2872472613404655,0.01248635016191757
0.91,0.4323422364976794,0.4736805462357899,0.19643268409459563,0.1224955580763452,0.9000693619091876,0.013047791659062394,0.742019439899023,0.10003699398371753,0.2864943651322226,0.012493882103689253
0.93,0.43259338463921265,0.47367167321565207,0.1958971963744796,0.12207077112382106,0.8995023836257097,0.012922686636037553,0.7420140305255026,0.10078624740170605,0.2857223825768832,0.012501587298396266
0.9500000000000001,0.43285011142187974,0.47366177583270175,0.19534989672133596,0.12163667319921531,0.8989177647547726,0.012795145346275428,0.742003045898069,0.10155909277402236,0.2849311621761431,0.012509466122791437
0.97,0.433112423491783,0.4736507939663582,0.19479077407238,0.12119326004146941,0.8983151343650639,0.012665191490869646,0.7419860988155466,0.10235607579426233,0.2841205496729496,0.012517518960482593
0.99,0.43338032751589145,0.47363866547684,0.19421981713006087,0.12074052738146356,0.8976941105121725,0.012532849881122637,0.7419627900430864,0.10317776214566253,0.2832903881054962,0.012525746201818861
1.01,0.4336538301726194,0.4736253261504611,0.19363701436285213,0.12027847094901231,0.8970543000204338,0.01239814648095728,0.7419327080655334,0.10402473808300634,0.2824405178646679,0.012534148243771382
1.03,0.4339329381419938,0.47361070964287355,0.19304235400615316,0.11980708648022147,0.8963952982579367,0.012261108450589883,0.74189542883539,0.10489761102841472,0.2815707767551084,0.012542725489808029
1.05,0.4342176580954061,0.47359474742018043,0.19243582406331192,0.11932636972522619,0.8957166889045313,0.01212176419147684,0.7418505155154408,0.10579701018032273,0.28068100006010904,0.012551478349761966
1.07,0.4345079966849129,0.4735773686978453,0.1918174123067717,0.1188363164563267,0.8950180437126883,0.011980143392547087,0.7417975182160906,0.10672358713477528,0.2797710206104993,0.012560407239693656
1.09,0.43480396053208764,0.47355850037732966,0.19118710627936028,0.11833692247654697,0.8942989222610368,0.011836277077730384,0.7417359737275245,0.10767801651800324,0.2788406688577573,0.012569512581746153
1.11,0.43510555621638874,0.4735380669803602,0.1905448932957224,0.11782818362863183,0.893558871700418,0.011690197654789644,0.7416654052467594,0.10866099662902665,0.27788977295153805,0.012578794803993232
1.1300000000000001,0.43541279026303137,0.4735159905807592,0.18989076044391348,0.11731009580451103,0.8927974264922737,0.011541938965463803,0.7415853220997121,0.10967325009080675,0.27691815882184917,0.012588254340280162
1.1500000000000001,0.43572566913034266,0.4734921907337476,0.18922469458716107,0.11678265495524924,0.8920141081391959,0.011391536336925561,0.7414952194583985,0.11071552450820396,0.27592565026609595,0.012597891630056698
1.17,0.43604419919657683,0.4734665844026184,0.18854668236580902,0.11624585710151225,0.8912084249074657,0.011239026634555817,0.7413945780534056,0.11178859313070633,0.27491206904123955,0.01260770711820195
