template_bank_path,mass_GeV,model,lifetime_index,ctau_m,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,template_total_N_eff,number_of_common_energy_bins,passes_N_events_threshold
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,8,18.009813218464746,562.8084504025721,2713.539624437021,0.20740749290489474,477096.7898224549,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,9,21.736537307469963,395.26642763305347,1961.6589011953627,0.20149600289438324,468974.26212953374,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,10,26.234422777612238,276.59587261116286,1407.224442177112,0.1965541986914627,462479.1602994088,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,11,31.66304405982725,193.07592278191453,1002.7374209092499,0.19254883557336427,457280.11551203934,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,12,38.21499590950062,134.37152055216814,710.3584363932276,0.1891601671325617,452265.35388981807,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,13,46.12272621683984,93.11665672475837,500.74993422503786,0.18595440630235127,448689.7665286383,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,14,55.666782713031616,64.5852229629781,351.49914169563834,0.183742192516937,445623.9151144077,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,15,67.18576614598469,44.78292427095602,245.83586247988455,0.18216595340974864,443253.1293478079,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,16,81.08834304099686,30.95128671991163,171.42874811040008,0.18054898645108816,440788.2301807341,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,17,97.8677442309312,21.325241952200848,119.22825001163086,0.17886064712113567,438516.63472997036,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,18,118.11926352975836,14.703442851302723,82.74472731988163,0.17769643248035488,436531.44702200167,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,19,142.56137736137705,10.127960389608141,57.321957027935525,0.17668553054935543,435760.38792293903,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,0,4.0,92383.67598159559,136779.42569834623,0.6754208501016727,389805.5468668214,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,1,5.095683551653521,58037.14612058649,85992.96028078318,0.6749057821836147,387930.65187553765,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,2,6.491497714648063,36278.59240626878,53836.05597280536,0.6738716600003996,386165.211979841,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,3,8.269654532532142,22627.898699921483,33594.727686349215,0.6735550563523703,385086.22515856335,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,4,10.534885644820253,14058.326548255704,20908.189747900185,0.6723837270353635,383857.3180718488,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,5,13.420610874715353,8729.21013367378,12986.600619589424,0.6721705232473497,383127.33626096265,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,6,17.096796521857346,5415.905086793296,8053.885270583972,0.672458683583979,382780.1048617253,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,7,21.779966205598896,3349.491902041357,4988.774797708174,0.6714057133988293,382273.6109407679,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,8,27.745953887359985,2073.473391193686,3087.274961630959,0.6716192813931618,381819.48984803096,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,9,35.34615021218933,1278.915510333941,1909.080652224096,0.6699117236581875,381274.5749851539,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,10,45.028199062631984,790.659682755792,1179.8216620098701,0.6701518612642472,381450.2348669903,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,11,57.36236333100857,487.89581076918586,728.7704606467945,0.6694780278774899,381028.94686857,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,12,73.07511282744834,300.8949380712456,449.98194239031903,0.6686822508318482,380752.6641241784,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,13,93.09191261751351,185.66427257494215,277.74560513540837,0.6684688043377892,380644.0260101706,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-SU2L,14,118.5917319792576,114.44934168406019,171.3828340667399,0.6677993295378191,380471.3427851794,18,True
