mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.0,73241,photon,13,12.632301501412519,5,100000,0.95935,0.95935,0.04065,0.0,-18.11232474122492,10.65616620181882
1.0,73241,photon,13,12.632301501412519,6,100000,0.97339,0.97339,0.02661,0.0,-21.735755925916127,11.66068852596347
1.0,73241,photon,13,12.632301501412519,7,100000,0.98228,0.98228,0.01772,0.0,-25.34831414950261,12.576899583121186
1.0,73241,photon,13,12.632301501412519,8,100000,0.98798,0.98798,0.01202,0.0,-28.960525123816087,13.430648084325124
1.0,73241,photon,13,12.632301501412519,9,100000,0.99197,0.99197,0.00803,0.0,-32.57881870487101,14.24150792518888
1.0,73241,photon,13,12.632301501412519,10,100000,0.99456,0.99456,0.00544,0.0,-36.20176635553288,15.007708969603467
1.0,73241,photon,13,12.632301501412519,11,100000,0.99626,0.99626,0.00374,0.0,-39.805112844162196,15.722194943026851
1.0,73241,photon,13,12.632301501412519,12,100000,0.99751,0.99751,0.00249,0.0,-43.40422468146977,16.434220039315694
1.0,73241,photon,14,12.861417238977731,1,100000,0.74124,0.74124,0.25876,0.0,-3.6128891139160935,4.764510433906568
1.0,73241,photon,14,12.861417238977731,2,100000,0.8387,0.8387,0.1613,0.0,-7.259682884477962,6.730633494239973
1.0,73241,photon,14,12.861417238977731,3,100000,0.89861,0.89861,0.10139,0.0,-10.909859283405263,8.27576162374433
1.0,73241,photon,14,12.861417238977731,4,100000,0.93673,0.93673,0.06327,0.0,-14.534774447745965,9.550253706307533
1.0,73241,photon,14,12.861417238977731,5,100000,0.95921,0.95921,0.04079,0.0,-18.15705010813859,10.6564165725362
1.0,73241,photon,14,12.861417238977731,6,100000,0.97297,0.97297,0.02703,0.0,-21.78165088520664,11.679884217104265
1.0,73241,photon,14,12.861417238977731,7,100000,0.98156,0.98156,0.01844,0.0,-25.38664247545246,12.61450513680779
1.0,73241,photon,14,12.861417238977731,8,100000,0.98761,0.98761,0.01239,0.0,-28.99810544807869,13.479761873325833
1.0,73241,photon,14,12.861417238977731,9,100000,0.99144,0.99144,0.00856,0.0,-32.62235680696538,14.267334393912625
1.0,73241,photon,14,12.861417238977731,10,100000,0.99448,0.99448,0.00552,0.0,-36.235216712121044,15.031989516140246
1.0,73241,photon,14,12.861417238977731,11,100000,0.99612,0.99612,0.00388,0.0,-39.83532741382722,15.748614961302552
