mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.05,73241,photon,11,11.401097398720731,2,100000,0.81795,0.81795,0.18205,0.0,-6.2205077925498005,6.20992673196275
1.05,73241,photon,11,11.401097398720731,3,100000,0.88075,0.88075,0.11925,0.0,-9.334130682779305,7.600846143412735
1.05,73241,photon,11,11.401097398720731,4,100000,0.92155,0.92155,0.07845,0.0,-12.448435357596239,8.792119458486775
1.05,73241,photon,11,11.401097398720731,5,100000,0.946,0.946,0.054,0.0,-15.547473679070736,9.83465191388987
1.05,73241,photon,11,11.401097398720731,6,100000,0.96301,0.96301,0.03699,0.0,-18.67642129263201,10.759145293171139
1.05,73241,photon,11,11.401097398720731,7,100000,0.97414,0.97414,0.02586,0.0,-21.78092754418856,11.608736997669036
1.05,73241,photon,11,11.401097398720731,8,100000,0.98196,0.98196,0.01804,0.0,-24.897837620703516,12.428643205580087
1.05,73241,photon,11,11.401097398720731,9,100000,0.98728,0.98728,0.01272,0.0,-28.00842353560907,13.17189295362995
1.05,73241,photon,11,11.401097398720731,10,100000,0.991,0.991,0.009,0.0,-31.11697134044238,13.89307328712718
1.05,73241,photon,11,11.401097398720731,11,100000,0.99366,0.99366,0.00634,0.0,-34.24122547278514,14.582046704324926
1.05,73241,photon,11,11.401097398720731,12,100000,0.99538,0.99538,0.00462,0.0,-37.33820095942541,15.2261656280048
1.05,73241,photon,12,11.486754113787567,1,100000,0.72209,0.72209,0.27791,0.0,-3.1018608617595076,4.402541339005137
1.05,73241,photon,12,11.486754113787567,2,100000,0.81557,0.81557,0.18443,0.0,-6.20128424230336,6.223519673705267
1.05,73241,photon,12,11.486754113787567,3,100000,0.87938,0.87938,0.12062,0.0,-9.322345089253647,7.61064338495393
1.05,73241,photon,12,11.486754113787567,4,100000,0.92141,0.92141,0.07859,0.0,-12.432358550981604,8.796258795130205
1.05,73241,photon,12,11.486754113787567,5,100000,0.94715,0.94715,0.05285,0.0,-15.53708931774948,9.838941235250113
1.05,73241,photon,12,11.486754113787567,6,100000,0.9636,0.9636,0.0364,0.0,-18.66695593239469,10.776609100957135
1.05,73241,photon,12,11.486754113787567,7,100000,0.97414,0.97414,0.02586,0.0,-21.80238044811004,11.631009146043127
1.05,73241,photon,12,11.486754113787567,8,100000,0.98196,0.98196,0.01804,0.0,-24.908198635771164,12.439207341784057
1.05,73241,photon,12,11.486754113787567,9,100000,0.98712,0.98712,0.01288,0.0,-28.02745701700595,13.19970124768982
1.05,73241,photon,12,11.486754113787567,10,100000,0.99059,0.99059,0.00941,0.0,-31.143222886588536,13.91313824246484
1.05,73241,photon,12,11.486754113787567,11,100000,0.99307,0.99307,0.00693,0.0,-34.290229674744864,14.639228980645246
1.05,73241,photon,12,11.486754113787567,12,100000,0.99503,0.99503,0.00497,0.0,-37.433207654030525,15.282206310758966
1.05,73241,photon,13,11.573054369785543,1,100000,0.72386,0.72386,0.27614,0.0,-3.10309272701089,4.3984358889251745
1.05,73241,photon,13,11.573054369785543,2,100000,0.81683,0.81683,0.18317,0.0,-6.2349979585756214,6.227390614587977
1.05,73241,photon,13,11.573054369785543,3,100000,0.8797,0.8797,0.1203,0.0,-9.357459456828346,7.611389473623151
1.05,73241,photon,13,11.573054369785543,4,100000,0.92203,0.92203,0.07797,0.0,-12.495757738104373,8.804680302222986
1.05,73241,photon,13,11.573054369785543,5,100000,0.94751,0.94751,0.05249,0.0,-15.644073620578904,9.844485532083915
1.05,73241,photon,13,11.573054369785543,6,100000,0.96388,0.96388,0.03612,0.0,-18.769073186404263,10.774084627672895
1.05,73241,photon,13,11.573054369785543,7,100000,0.97472,0.97472,0.02528,0.0,-21.90289149737571,11.645781789616153
1.05,73241,photon,13,11.573054369785543,8,100000,0.98185,0.98185,0.01815,0.0,-25.028878742012218,12.450795543894479
1.05,73241,photon,13,11.573054369785543,9,100000,0.98711,0.98711,0.01289,0.0,-28.153793021424274,13.197410085057845
1.05,73241,photon,13,11.573054369785543,10,100000,0.99081,0.99081,0.00919,0.0,-31.301361547750933,13.935617816886023
1.05,73241,photon,13,11.573054369785543,11,100000,0.99343,0.99343,0.00657,0.0,-34.425347665001155,14.605034306731518
1.05,73241,photon,13,11.573054369785543,12,100000,0.99502,0.99502,0.00498,0.0,-37.556247950231466,15.274330978715257
1.05,73241,photon,14,11.660003001652942,1,100000,0.7237,0.7237,0.2763,0.0,-3.1089461236310125,4.402206244941902
1.05,73241,photon,14,11.660003001652942,2,100000,0.81713,0.81713,0.18287,0.0,-6.239197487918833,6.22314044389837
1.05,73241,photon,14,11.660003001652942,3,100000,0.87816,0.87816,0.12184,0.0,-9.355249229118401,7.630896754983115
1.05,73241,photon,14,11.660003001652942,4,100000,0.92086,0.92086,0.07914,0.0,-12.482562692336266,8.824264982082756
1.05,73241,photon,14,11.660003001652942,5,100000,0.94709,0.94709,0.05291,0.0,-15.595145659491076,9.842928574588372
1.05,73241,photon,14,11.660003001652942,6,100000,0.96335,0.96335,0.03665,0.0,-18.757975496692556,10.792647678544869
1.05,73241,photon,14,11.660003001652942,7,100000,0.97442,0.97442,0.02558,0.0,-21.901669597137772,11.644152171861762
1.05,73241,photon,14,11.660003001652942,8,100000,0.98225,0.98225,0.01775,0.0,-25.039989348961054,12.447349198588821
1.05,73241,photon,14,11.660003001652942,9,100000,0.98752,0.98752,0.01248,0.0,-28.194696119310585,13.198372507262578
1.05,73241,photon,14,11.660003001652942,10,100000,0.99081,0.99081,0.00919,0.0,-31.328403874916276,13.91613924270134
1.05,73241,photon,14,11.660003001652942,11,100000,0.99351,0.99351,0.00649,0.0,-34.48068635244084,14.586377206060208
1.05,73241,photon,14,11.660003001652942,12,100000,0.99549,0.99549,0.00451,0.0,-37.63204130233594,15.214226914601344
1.05,73241,photon,15,11.747604880653032,1,100000,0.72317,0.72317,0.27683,0.0,-3.106380613591313,4.398750265064742
1.05,73241,photon,15,11.747604880653032,2,100000,0.81752,0.81752,0.18248,0.0,-6.233852624288246,6.217230796456175
1.05,73241,photon,15,11.747604880653032,3,100000,0.88045,0.88045,0.11955,0.0,-9.37078861873921,7.631360947972076
1.05,73241,photon,15,11.747604880653032,4,100000,0.92271,0.92271,0.07729,0.0,-12.510884052635086,8.800394463039865
1.05,73241,photon,15,11.747604880653032,5,100000,0.94774,0.94774,0.05226,0.0,-15.659002884715656,9.845212130327976
1.05,73241,photon,15,11.747604880653032,6,100000,0.96398,0.96398,0.03602,0.0,-18.775663402251954,10.776647760504352
1.05,73241,photon,15,11.747604880653032,7,100000,0.97407,0.97407,0.02593,0.0,-21.902457420392725,11.677525507031527
