mass_GeV,model,lifetime_index,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,probability
0.4,ALP-photon-combined,11,31.66304405982725,12,115.36126012506426,132.45244859303648,0.0015681614791713328
0.4,ALP-photon-combined,11,31.66304405982725,13,132.45244859303648,152.07575852822455,0.0008956125883352626
0.4,ALP-photon-combined,11,31.66304405982725,14,152.07575852822455,174.6063328960663,0.0005657792358407772
0.4,ALP-photon-combined,11,31.66304405982725,15,174.6063328960663,200.47489345090884,0.00036544687702971313
0.4,ALP-photon-combined,11,31.66304405982725,16,200.47489345090884,230.17597493486272,0.00020970687733321523
0.4,ALP-photon-combined,11,31.66304405982725,17,230.17597493486272,400.0,0.00019497033808604127
0.4,ALP-photon-combined,12,38.21499590950062,0,0.4,25.238293779207726,0.8051944901924349
0.4,ALP-photon-combined,12,38.21499590950062,1,25.238293779207726,28.977438402999603,0.04409662210467356
0.4,ALP-photon-combined,12,38.21499590950062,2,28.977438402999603,33.27055084410684,0.03534235850242445
0.4,ALP-photon-combined,12,38.21499590950062,3,33.27055084410684,38.19970344085745,0.028964626668636813
0.4,ALP-photon-combined,12,38.21499590950062,4,38.19970344085745,43.859127845727414,0.02296140347434788
0.4,ALP-photon-combined,12,38.21499590950062,5,43.859127845727414,50.35701647176671,0.01802007185337339
0.4,ALP-photon-combined,12,38.21499590950062,6,50.35701647176671,57.81759082983714,0.013577576760114172
0.4,ALP-photon-combined,12,38.21499590950062,7,57.81759082983714,66.38347629750241,0.010231375219105554
0.4,ALP-photon-combined,12,38.21499590950062,8,66.38347629750241,76.21842871852988,0.007038414845888585
0.4,ALP-photon-combined,12,38.21499590950062,9,76.21842871852988,87.5104649579821,0.005049534301257015
0.4,ALP-photon-combined,12,38.21499590950062,10,87.5104649579821,100.47545726038321,0.0034703572739107173
0.4,ALP-photon-combined,12,38.21499590950062,11,100.47545726038321,115.36126012506426,0.002301815299970272
0.4,ALP-photon-combined,12,38.21499590950062,12,115.36126012506426,132.45244859303648,0.0015481465429057243
0.4,ALP-photon-combined,12,38.21499590950062,13,132.45244859303648,152.07575852822455,0.0008847180980145114
0.4,ALP-photon-combined,12,38.21499590950062,14,152.07575852822455,174.6063328960663,0.0005581663725359285
0.4,ALP-photon-combined,12,38.21499590950062,15,174.6063328960663,200.47489345090884,0.0003608514152372549
0.4,ALP-photon-combined,12,38.21499590950062,16,200.47489345090884,230.17597493486272,0.00020689634636848257
0.4,ALP-photon-combined,12,38.21499590950062,17,230.17597493486272,400.0,0.000192574728800775
0.4,ALP-photon-combined,13,46.12272621683984,0,0.4,25.238293779207726,0.8065669930657132
0.4,ALP-photon-combined,13,46.12272621683984,1,25.238293779207726,28.977438402999603,0.04395295407023963
0.4,ALP-photon-combined,13,46.12272621683984,2,28.977438402999603,33.27055084410684,0.03500953216406646
0.4,ALP-photon-combined,13,46.12272621683984,3,33.27055084410684,38.19970344085745,0.02879162465733081
0.4,ALP-photon-combined,13,46.12272621683984,4,38.19970344085745,43.859127845727414,0.022734937324478205
0.4,ALP-photon-combined,13,46.12272621683984,5,43.859127845727414,50.35701647176671,0.017867058402164546
0.4,ALP-photon-combined,13,46.12272621683984,6,50.35701647176671,57.81759082983714,0.0134985060592544
0.4,ALP-photon-combined,13,46.12272621683984,7,57.81759082983714,66.38347629750241,0.010149302237535317
0.4,ALP-photon-combined,13,46.12272621683984,8,66.38347629750241,76.21842871852988,0.006977306678794288
0.4,ALP-photon-combined,13,46.12272621683984,9,76.21842871852988,87.5104649579821,0.005006000265449982
0.4,ALP-photon-combined,13,46.12272621683984,10,87.5104649579821,100.47545726038321,0.0034438577918070477
0.4,ALP-photon-combined,13,46.12272621683984,11,100.47545726038321,115.36126012506426,0.002282398686848581
0.4,ALP-photon-combined,13,46.12272621683984,12,115.36126012506426,132.45244859303648,0.001536366830007002
0.4,ALP-photon-combined,13,46.12272621683984,13,132.45244859303648,152.07575852822455,0.0008754799644311964
0.4,ALP-photon-combined,13,46.12272621683984,14,152.07575852822455,174.6063328960663,0.0005539022808400871
0.4,ALP-photon-combined,13,46.12272621683984,15,174.6063328960663,200.47489345090884,0.0003579110045732624
0.4,ALP-photon-combined,13,46.12272621683984,16,200.47489345090884,230.17597493486272,0.000205087861751889
0.4,ALP-photon-combined,13,46.12272621683984,17,230.17597493486272,400.0,0.0001907806547141484
0.4,ALP-photon-combined,14,55.666782713031616,0,0.4,25.238293779207726,0.8078007542123646
0.4,ALP-photon-combined,14,55.666782713031616,1,25.238293779207726,28.977438402999603,0.04364292708300814
0.4,ALP-photon-combined,14,55.666782713031616,2,28.977438402999603,33.27055084410684,0.03495075991541909
0.4,ALP-photon-combined,14,55.666782713031616,3,33.27055084410684,38.19970344085745,0.028569477287552547
0.4,ALP-photon-combined,14,55.666782713031616,4,38.19970344085745,43.859127845727414,0.022563315761451375
0.4,ALP-photon-combined,14,55.666782713031616,5,43.859127845727414,50.35701647176671,0.017767929172744026
0.4,ALP-photon-combined,14,55.666782713031616,6,50.35701647176671,57.81759082983714,0.013401651682727764
