model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,reference_ctau_m,is_reference,weighted_mean_gamma,ctau_times_weighted_mean_gamma_m,N_events_ge_10,total_variation_distance_to_reference,binned_cdf_max_distance_to_reference,nonempty_bins_with_low_N_eff,common_ctau_lower_m,common_ctau_upper_m
ALP-photon-primary,"ALP-photon, primary",0.4,80.181093408928,14.446166199245537,9.547399628426472,4.148512718994997,23.333447581198588,0.0004229525571427561,441270.69100474584,866305,0.9999999999999998,1.0,3086.3334271174667,0.8178540411317706,0.866305,0.016941842445644072,1.0,37.04674927270516,1000.0,False,36.11541549811384,2895.773503556512,True,0.012229312485212857,0.012229312485212862,3,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,111.876783674932,14.359482383853015,9.472335767576277,4.105536515644958,23.205424988598796,0.0004640774065625932,433987.2365669344,866365,0.9999999999999997,1.0,2211.9476506389024,0.8178540411317706,0.866365,0.012283924573622542,1.0,19.25256899988135,1000.0,False,35.89870595963254,4016.2317608558014,True,0.008536612475797178,0.008536612475797178,3,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,156.101821430809,14.296809153075158,9.417638490688425,4.0751545684497765,23.1175450744397,0.0004963719826730892,428647.7299027097,866404,0.999999999999997,1.0,1585.2831603280802,0.8178540411317706,0.866404,0.008878123918625433,1.0,9.972965150762205,1000.0,False,35.74202288268789,5579.394873609234,False,0.005848326163387508,0.0058483261633875405,3,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,1000.0,14.161402844129881,9.302105382244912,4.012223575872209,22.922280497434496,0.0005743346393268026,416861.84817618836,866500,0.9999999999999969,1.0,247.4655888108025,0.8178540411317706,0.8665,0.0014113441154697268,1.0,0.24750963213771812,1000.0,True,35.4035071103247,35403.5071103247,False,0.0,0.0,3,4.0,156.10182143080877
ALP-SU2L,ALP-$SU(2)_L$,0.5,5.0,72.69881356932473,67.04374673639678,44.474034016232295,101.1265230919202,6.240752809824019e-06,535359.420392442,611315,1.000000000000001,1.0,4716704.655548625,0.3082158704867878,0.611315,0.06358183456046665,1.0,56505.638595059165,1000.0,False,145.39762713864945,726.9881356932473,True,0.021629488353315685,0.02162948835331563,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,6.564996940125,72.44981351356248,66.80323585130218,44.27498090487475,100.8216148359267,2.1986020809618286e-05,531883.768186719,611546,0.999999999999998,1.0,3592312.912379527,0.3082158704867878,0.611546,0.04950481624638475,1.0,33520.13348827553,1000.0,False,144.89962702712495,951.265608058329,True,0.01818702243759571,0.018187022437595735,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,8.619836964771,72.24743776906952,66.61296062544479,44.11865730141359,100.59569314231904,6.565585934628321e-05,528583.0595774228,611727,0.9999999999999991,1.0,2735959.3196632643,0.3082158704867878,0.611727,0.038351686069897646,1.0,19783.664769314888,1000.0,False,144.49487553813904,1245.5222693836358,True,0.015414226876052954,0.015414226876052983,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,11.31784065962,72.07844803302304,66.454767164516,43.98220596965885,100.40961615507142,0.0001520168366831456,524634.710518348,611836,0.9999999999999948,1.0,2083747.5970027435,0.3082158704867878,0.611836,0.029598218826634996,1.0,11630.562330428342,1000.0,False,144.15689606604607,1631.5447796609108,True,0.013193601523334519,0.013193601523334514,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,14.860317859846,71.93061070376173,66.31738707577452,43.85983119042076,100.26176625480122,0.0003023120978082597,518762.19581844646,611935,0.9999999999999994,1.0,1587013.3802095884,0.3082158704867878,0.611935,0.02277743957834618,1.0,6817.823949739315,1000.0,False,143.86122140752346,2137.8234778214805,True,0.011451282027207526,0.011451282027207521,16,5.0,99.97231863122911
ALP-SU2L,ALP-$SU(2)_L$,0.5,19.511588255835,71.79779423679518,66.21325178323087,43.74976140378924,100.13720071302893,0.0005304020176804882,509617.2860062249,612018,1.0000000000000007,1.0,1208693.1606241944,0.3082158704867878,0.612018,0.017490458368005873,1.0,3987.828276386032,1000.0,False,143.59558847359037,2801.7779976510215,True,0.009882488857047594,0.009882488857047594,16,5.0,99.97231863122911
