profile,selection_name,model,model_id,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,cascade_event_fraction,valid_mother_samples,samples_passing_ECAL,template_model_seed,spectrum_cache_key,scan_point_kind
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.5579810753618,3.0,5.274743068540775e-15,9.990328412293557,66.88068794194187,0.1493753835332258,False,3.376159191579807,6.61416922071375,,0.6620572365343577,1707978,807109,54321,e8197524c76872abb03a692c636ca079f269608f2c2f784739a779dc83a2190c,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.7008099238017,3.0,5.272010448790748e-15,9.980021483184348,66.81227993597776,0.1493740595703007,False,3.3726704777151824,6.607351005469167,,0.6620577938236005,1707978,807109,54321,d1622706db43d972f4dc4da7ad84a2cba3053ce5868e603577e67a3850383b7b,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,276.27286602035286,3.0,5.2610941189978324e-15,9.938984509736454,66.53934247794325,0.14937004394101236,False,3.3587515916977964,6.580232918038658,,0.6620629010531723,1707978,807110,54321,c84b126764a53c330b7746083cefb44ef89a8f8a73f2ae68d1415e863207f92f,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,277.4205415818241,3.0,5.239329223317989e-15,9.853187376697665,65.99700008017166,0.14929750389757468,False,3.3310857039937,6.522101672703965,,0.6619281074597683,1707980,806727,54321,6c532faafe9c60d1e46f240f16a12c1e157794daebe947c0d9698d709869425e,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,282.0591183167509,3.0,5.153166326734683e-15,9.525151871685768,63.87072701868141,0.14913172773029149,False,3.219319868975658,6.30583200271011,,0.6620190509985118,1707984,806610,54321,91d7f6091e9be28482ca560255c6b2a5c26f105835d0e1bd81e8c4a544b043f2,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,291.57024488853295,3.0,4.985068182159758e-15,8.931122711770135,59.820682626272415,0.149298241338485,False,3.0142404806001943,5.91688223116994,,0.6625015042478599,1707992,807030,54321,56abc02d9c0eb8848415cbf845e3832ac96a5703e456b3e04013b94eb8d51a89,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,311.5654677422671,3.0,4.665143288153857e-15,7.821787496515775,52.47117936727585,0.14906826167878945,False,2.6400821274467146,5.181705369069061,,0.6624707423178215,1708016,806743,54321,f4a7494c3a37679abd51022ba420a71ecd5a4a9269a5d78d2cc4914ebf6ab86a,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,355.7636294909999,3.0,4.085570952651654e-15,5.999305856777003,40.35761813842185,0.14865361568663676,False,2.027612819363199,3.971693037413804,,0.6620254296465409,1708045,807148,54321,ab72df0516d821ec78972694cece2715504070e91f47e7d956ac729a6a0d7c53,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,604.7981701346998,3.0,2.403277030971561e-15,2.082610021434415,14.079714297992567,0.14791564497380078,False,0.7029576538651934,1.3796523675692214,,0.662463136818565,1708121,807289,54321,ae68981f753f3b404fd84f6d1c36bdf707bb0199280afc661fe28c1c7dbc87f4,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,1000.0,3.0,1.4534975506583546e-15,0.7638370846979533,5.174054696342193,0.1476283359041313,False,0.257038133085437,0.5067989516125163,,0.6634908958536905,1708163,806787,54321,a3c9fcfb294a4f6aa3c556133609f6ebec74104743670998c264926808a18c94,coarse
