"mass","coupling"
7.4083568321663188e-34,5.04731102945213164e-13
7.45486483114028964e-34,5.04731102945213164e-13
7.50166479687801461e-34,5.04731102945213164e-13
7.54875856228108515e-34,5.04731102945213164e-13
7.59614797175788573e-34,5.04731102945213164e-13
7.64383488129539623e-34,5.04731102945213164e-13
7.69182115853206445e-34,5.04731102945213164e-13
7.74010868283113851e-34,5.04731102945213164e-13
7.78869934535390292e-34,5.04731102945213164e-13
7.837595049133923e-34,5.04731102945213164e-13
7.88679770915177327e-34,5.04731102945213164e-13
7.93630925240959129e-34,5.04731102945213164e-13
7.986131618007056e-34,5.04731102945213164e-13
8.03626675721688651e-34,5.04731102945213164e-13
8.08671663356145135e-34,5.04731102945213164e-13
8.13748322288986892e-34,5.04731102945213164e-13
8.18856851345499687e-34,5.04731102945213164e-13
8.23997450599149502e-34,5.04731102945213164e-13
8.2917032137943888e-34,5.04731102945213164e-13
8.3437566627975142e-34,5.04731102945213164e-13
8.39613689165306568e-34,5.04731102945213164e-13
8.4488459518116391e-34,5.04731102945213164e-13
8.5018859076021056e-34,5.04731102945213164e-13
8.55525883631300174e-34,5.04731102945213164e-13
8.60896682827341086e-34,5.04731102945213164e-13
8.66301198693502546e-34,5.04731102945213164e-13
8.7173964289547532e-34,5.04731102945213164e-13
8.77212228427718153e-34,5.04731102945213164e-13
8.82719169621821225e-34,5.04731102945213164e-13
8.88260682154921774e-34,5.04731102945213164e-13
8.93836983058107777e-34,5.04731102945213164e-13
8.99448290724940102e-34,5.04731102945213164e-13
9.05094824920026638e-34,5.04731102945213164e-13
9.10776806787579156e-34,5.04731102945213164e-13
9.16494458860132356e-34,5.04731102945213164e-13
9.22248005067207999e-34,5.04731102945213164e-13
9.28037670744106862e-34,5.04731102945213164e-13
9.33863682640756912e-34,5.04731102945213164e-13
9.39726268930548612e-34,5.04731102945213164e-13
9.45625659219293106e-34,5.04731102945213164e-13
9.51562084554238629e-34,5.04731102945213164e-13
9.57535777433073141e-34,5.04731102945213164e-13
9.63546971813052222e-34,5.04731102945213164e-13
9.69595903120186483e-34,5.04731102945213164e-13
9.7568280825840656e-34,5.04731102945213164e-13
9.81807925618904074e-34,5.04731102945213164e-13
9.87971495089413624e-34,5.04731102945213164e-13
9.94173758063630336e-34,5.04731102945213164e-13
1.00041495745068968e-33,5.04731102945213164e-13
1.00669533768463128e-33,5.04731102945213164e-13
1.01301514473399667e-33,5.04731102945213164e-13
1.01937462611148725e-33,5.04731102945213164e-13
1.02577403088360095e-33,5.04731102945213164e-13
1.03221360968045167e-33,5.04731102945213164e-13
1.03869361470552859e-33,5.04731102945213164e-13
1.04521429974559701e-33,5.04731102945213164e-13
1.05177592018066413e-33,5.04731102945213164e-13
1.05837873299393015e-33,5.04731102945213164e-13
1.06502299678187752e-33,5.04731102945213164e-13
1.07170897176442537e-33,5.04731102945213164e-13
1.07843691979506061e-33,5.04731102945213164e-13
1.08520710437116189e-33,5.04731102945213164e-13
1.09201979064425912e-33,5.04731102945213164e-13
1.0988752454304441e-33,5.04731102945213164e-13
1.10577373722084601e-33,5.04731102945213164e-13
1.11271553619209517e-33,5.04731102945213164e-13
1.11970091421692929e-33,5.04731102945213164e-13
1.12673014487486951e-33,5.04731102945213164e-13
1.13380350346288017e-33,5.04731102945213164e-13
1.14092126700617832e-33,5.04731102945213164e-13
1.14808371426911044e-33,5.04731102945213164e-13
1.1552911257660062e-33,5.04731102945213164e-13
1.16254378377223811e-33,5.04731102945213164e-13
1.16984197233521214e-33,5.04731102945213164e-13
1.17718597728551971e-33,5.04731102945213164e-13
1.18457608624816127e-33,5.04731102945213164e-13
1.1920125886537539e-33,5.04731102945213164e-13
1.19949577574989411e-33,5.04731102945213164e-13
1.20702594061259539e-33,5.04731102945213164e-13
1.21460337815770707e-33,5.04731102945213164e-13
1.22222838515249327e-33,5.04731102945213164e-13
1.22990126022728687e-33,5.04731102945213164e-13
1.23762230388711416e-33,5.04731102945213164e-13
1.24539181852354538e-33,5.04731102945213164e-13
1.25321010842646628e-33,5.04731102945213164e-13
1.2610774797960262e-33,5.04731102945213164e-13
1.26899424075466092e-33,5.04731102945213164e-13
1.27696070135909871e-33,5.04731102945213164e-13
1.28497717361253421e-33,5.04731102945213164e-13
1.29304397147687932e-33,5.04731102945213164e-13
1.30116141088499712e-33,5.04731102945213164e-13
1.30932980975310554e-33,5.04731102945213164e-13
1.31754948799326134e-33,5.04731102945213164e-13
1.32582076752581442e-33,5.04731102945213164e-13
1.33414397229210134e-33,5.04731102945213164e-13
1.3425194282670571e-33,5.04731102945213164e-13
1.35094746347201406e-33,5.04731102945213164e-13
1.35942840798758149e-33,5.04731102945213164e-13
1.36796259396650789e-33,5.04731102945213164e-13
1.37655035564672125e-33,5.04731102945213164e-13
1.38519202936445454e-33,5.04731102945213164e-13
1.39388795356733853e-33,5.04731102945213164e-13
1.4026384688277473e-33,5.04731102945213164e-13
1.4114439178560582e-33,5.04731102945213164e-13
1.4203046455141065e-33,5.04731102945213164e-13
1.42922099882872779e-33,5.04731102945213164e-13
1.43819332700527912e-33,5.04731102945213164e-13
1.44722198144134984e-33,5.04731102945213164e-13
