reference,branch,mass_GeV,eventcalc_coupling_GeV_inv,reference_coupling_GeV_inv,log10_reference_over_eventcalc_dex,absolute_log_distance_dex,coupling_ratio_reference_over_eventcalc
geom_only,lower,0.07201283622319953,5.59217733685503e-08,5.7021207395378894e-08,0.008455473911850801,0.008455473911850801,1.0196602139131536
geom_only,lower,0.07258876223055408,5.573662587619296e-08,5.6791311284947474e-08,0.008141222135101617,0.008141222135101617,1.018922663368559
geom_only,lower,0.07316929423294151,5.555209137573246e-08,5.6562290670083596e-08,0.007826575765968803,0.007826575765968803,1.018184721210918
geom_only,lower,0.07375446906702134,5.533187458533172e-08,5.6334880189875666e-08,0.007801991118276072,0.007801991118276072,1.018127085193854
geom_only,lower,0.07434432386405598,5.5110092363662655e-08,5.6107185528316806e-08,0.007787345094760333,0.007787345094760333,1.0180927507447184
geom_only,lower,0.0749388960522669,5.488919909351066e-08,5.587961042584894e-08,0.007766475802121417,0.007766475802121417,1.0180438291812381
geom_only,lower,0.07553822335920934,5.466919121176405e-08,5.565612675009273e-08,0.007770330514407664,0.007770330514407664,1.018052865177861
geom_only,lower,0.0761423438141667,5.445006516959287e-08,5.543201973881041e-08,0.007762299087788838,0.007762299087788838,1.0180340384563196
geom_only,lower,0.07675129575056305,5.423181743239199e-08,5.520869316634536e-08,0.0077533082842347585,0.0077533082842347585,1.0180129632419417
geom_only,lower,0.07736511780839599,5.4014444479723316e-08,5.4985166046959585e-08,0.007735627018262451,0.007735627018262451,1.0179715181112465
geom_only,lower,0.07798384893668826,5.379794280525984e-08,5.4764335299252324e-08,0.0077321519245421265,0.0077321519245421265,1.0179633726421597
geom_only,lower,0.0786075283959591,5.358230891672828e-08,5.454373011573692e-08,0.007723411115295969,0.007723411115295969,1.0179428848522145
geom_only,lower,0.07923619576071583,5.3367539335853573e-08,5.4323091296358e-08,0.00770729696273165,0.00770729696273165,1.017905115588915
geom_only,lower,0.07986989092196449,5.315363059830188e-08,5.410395419531649e-08,0.007696072878284859,0.007696072878284859,1.0178788087721888
geom_only,lower,0.0805086540897414,5.2940579253625645e-08,5.389669201366855e-08,0.007773421702070795,0.007773421702070795,1.0180601114215693
geom_only,lower,0.08115252579566451,5.2728381865206985e-08,5.3697387000654474e-08,0.007908708905121726,0.007908708905121726,1.018377297029987
geom_only,lower,0.08180154689550528,5.25224079782524e-08,5.3492978966043896e-08,0.007952155121803795,0.007952155121803795,1.0184791791761219
geom_only,lower,0.08245575857178114,5.2326650764069726e-08,5.329194992228004e-08,0.00793867307971309,0.00793867307971309,1.018447562458424
geom_only,lower,0.08311520233636842,5.213162316013124e-08,5.309213242444482e-08,0.007928921710623977,0.007928921710623977,1.0184246951483404
geom_only,lower,0.08377992003313693,5.193732244709322e-08,5.2893329070366625e-08,0.007921345628444596,0.007921345628444596,1.0184069293184541
geom_only,lower,0.0844499538406045,5.1743745915747587e-08,5.2693988636790044e-08,0.007903207794881519,0.007903207794881519,1.0183643975561743
geom_only,lower,0.08512534627461374,5.15508908669837e-08,5.2496778752735653e-08,0.007896480680046574,0.007896480680046574,1.0183486234639985
geom_only,lower,0.0858061401910297,5.1358754611750803e-08,5.23088607517345e-08,0.007960777450340278,0.007960777450340278,1.0184993999010699
geom_only,lower,0.08649237878845914,5.116733447102057e-08,5.2109698184122766e-08,0.007925764496445891,0.007925764496445891,1.0184172914779432
geom_only,lower,0.08718410561099178,5.0976627775749716e-08,5.191491300259596e-08,0.007921028094765244,0.007921028094765244,1.0184061847122143
geom_only,lower,0.08788136455096306,5.0786631866842905e-08,5.17206321165715e-08,0.007914412395112268,0.007914412395112268,1.0183906712336712
geom_only,lower,0.08858419985173968,5.059734409511525e-08,5.152724332691165e-08,0.007909187728927274,0.007909187728927274,1.018378419824731
geom_only,lower,0.08929265611052642,5.0408761821256006e-08,5.1332708784541146e-08,0.007888152131314977,0.007888152131314977,1.01832909458402
geom_only,lower,0.09000677828119648,5.0220882415791334e-08,5.113179005287319e-08,0.007806657738937528,0.007806657738937528,1.0181380253246095
geom_only,lower,0.09072661167714369,5.0033703259047766e-08,5.091863731714171e-08,0.00761412405782203,0.00761412405782203,1.0176867591333831
geom_only,lower,0.09145220197415786,4.9851877812726736e-08,5.070845607531401e-08,0.007398865855727813,0.007398865855727813,1.0171824673446623
geom_only,lower,0.09218359521332312,4.9671959221751445e-08,5.049284596065026e-08,0.007118559500139741,0.007118559500139741,1.0165261598648467
geom_only,lower,0.09292083780393906,4.949268996838988e-08,5.0278530341521036e-08,0.0068415159098025435,0.0068415159098025435,1.0158779079018145
geom_only,lower,0.09366397652646623,4.9314067709141276e-08,5.006666136830991e-08,0.00657780486281467,0.00657780486281467,1.015261236684175
geom_only,lower,0.09441305853549367,4.9136090108963026e-08,4.985838674643544e-08,0.006337626515477932,0.006337626515477932,1.0146999208905443
geom_only,lower,0.09516813136273168,4.8958754841239516e-08,4.964678665973121e-08,0.006060780502095608,0.006060780502095608,1.0140532948748964
geom_only,lower,0.0959292429200276,4.878205958775206e-08,4.943655879720368e-08,0.005788100202473787,0.005788100202473787,1.013416801483633
geom_only,lower,0.0966964415024058,4.860600203864886e-08,4.922985075103165e-08,0.005538618363568839,0.005538618363568839,1.0128348081762977
geom_only,lower,0.09746977579113274,4.843057989241422e-08,4.902095339307448e-08,0.005262084272560539,0.005262084272560539,1.012190097702149
geom_only,lower,0.09824929485680518,4.825579085583885e-08,4.881406727593246e-08,0.004995557768570118,0.004995557768570118,1.0115691072551567
