model,mass_GeV,coupling_GeV_inv,coupling_squared_GeV_inv2,ctau_m,unit_coupling_ctau_m,yield_per_PoT_per_coupling_squared,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,sum_P_decay,visible_Br,sampled_inside_volume,N_events,N_events_gt_3,N_events_gt_10,N_events_gt_30,N_events_gt_100,log10_N_events
ALP-SU2L,4.8824,3.477721286478285e-07,1.209454534642418e-13,522.391119820135,6.318083087233931e-11,2.5316571473316e-09,0.1837154530200054,0.8750508708994431,0.77047,0.0061388441609757,472.97952607070135,1.0,77047,0.0007603636227163,False,False,False,False,-3.1189786688074967
ALP-SU2L,4.8824,4.15297686952834e-07,1.7247216878837414e-13,366.3247891888176,6.318083087233931e-11,2.5316571473316e-09,0.2619842392973215,0.8750508708994431,0.77041,0.0087224022196539,671.9825894043563,1.0,77041,0.0015405169733109,False,False,False,False,-2.8123335122937108
ALP-SU2L,4.8824,4.959344196412829e-07,2.4595094858493613e-13,256.8838674371715,6.318083087233931e-11,2.5316571473316e-09,0.3735980861268241,0.8750508708994431,0.77036,0.0123736938862607,953.2198822219812,1.0,77036,0.0031162409940101,False,False,False,False,-2.506368963604855
ALP-SU2L,4.8824,5.922280723245858e-07,3.5073408964929493e-13,180.13883661983053,6.318083087233931e-11,2.5316571473316e-09,0.5327630789240875,0.8750508708994431,0.77032,0.0175153935803946,1349.2457982849585,1.0,77032,0.0062901136994921,False,False,False,False,-2.201341504218368
ALP-SU2L,4.8824,7.072186881140176e-07,5.001582728177121e-13,126.32167516974415,6.318083087233931e-11,2.5316571473316e-09,0.7597375597055934,0.8750508708994431,0.77013,0.0247157906289995,1903.437183711141,1.0,77013,0.012654221959347,False,False,False,False,-1.8977645521374835
ALP-SU2L,4.8824,8.4453658343907e-07,7.132420407669375e-13,88.58259505342959,6.318083087233931e-11,2.5316571473316e-09,1.0834105861709955,0.8750508708994431,0.76996,0.0347224003280255,2673.4859356566526,1.0,76996,0.0253456994077961,False,False,False,False,-1.596095720035155
ALP-SU2L,4.8824,1.0085169591162565e-06,1.017106456825101e-12,62.11820842191715,6.318083087233931e-11,2.5316571473316e-09,1.5449788986110315,0.8750508708994431,0.76972,0.0484756275393551,3731.266002959248,1.0,76972,0.0504442959157689,False,False,False,False,-1.2971879353212352
ALP-SU2L,4.8824,1.2043367650022956e-06,1.4504270435361944e-12,43.56015778518727,6.318083087233931e-11,2.5316571473316e-09,2.2031903948708687,0.8750508708994431,0.76949,0.0670885322250953,5162.395466188859,1.0,76949,0.0995260118481739,False,False,False,False,-1.0020633983924991
ALP-SU2L,4.8824,1.438178139123384e-06,2.0683563598524e-12,30.546395243442465,6.318083087233931e-11,2.5316571473316e-09,3.1418214969894582,0.8750508708994431,0.769,0.0917057268938663,7052.170398138324,1.0,76900,0.1938820511689193,False,False,False,False,-0.7124623943204825
ALP-SU2L,4.8824,1.7174235811429916e-06,2.949543757066018e-12,21.420543675943563,6.318083087233931e-11,2.5316571473316e-09,4.48034012036609,0.8750508708994431,0.76827,0.1232150915777181,9466.245840641355,1.0,76827,0.3711265843707936,False,False,False,False,-0.4304779353520479
