model,mass_GeV,event_level,status,number_of_crossings,maximum_N_events,peak_coupling_GeV_inv,lower_coupling_GeV_inv,upper_coupling_GeV_inv,is_interpolated
ALP-SU2L,4.723529411764706,10.0,resolved,2.0,196.6896635682816,7.102239790227848e-06,1.9590416796464567e-06,1.851626149813773e-05,False
ALP-SU2L,4.747058823529412,10.0,resolved,2.0,165.95110107232264,7.102239790227848e-06,2.036977158327259e-06,1.797887727408217e-05,False
ALP-SU2L,4.753,10.0,resolved,2.0,157.23998220801678,7.102239790227848e-06,2.0669383983869507e-06,1.7804692761040252e-05,False
ALP-SU2L,4.759,10.0,resolved,2.0,138.3850469668448,7.102239790227848e-06,2.144269260675361e-06,1.7526758065561764e-05,False
ALP-SU2L,4.765,10.0,resolved,2.0,115.5093708478528,7.102239790227848e-06,2.2595149921138504e-06,1.7069840302106064e-05,False
ALP-SU2L,4.770588235294118,10.0,resolved,2.0,94.9544737440363,7.102239790227848e-06,2.388925935662624e-06,1.6458280092987727e-05,False
ALP-SU2L,4.794117647058823,10.0,resolved,2.0,52.134598598322825,7.102239790227848e-06,2.8650330615238916e-06,1.4759761716179668e-05,False
ALP-SU2L,4.817647058823529,10.0,resolved,2.0,30.59707743592305,7.102239790227848e-06,3.4329269465307385e-06,1.3019554298582081e-05,False
ALP-SU2L,4.8235,10.0,resolved,2.0,26.706104464174643,7.102239790227848e-06,3.6169596462370987e-06,1.257354593185196e-05,False
ALP-SU2L,4.8295,10.0,resolved,2.0,23.519576219550423,7.102239790227848e-06,3.8056169060160608e-06,1.218394355582235e-05,False
ALP-SU2L,4.8355,10.0,resolved,2.0,20.682376631100563,7.102239790227848e-06,4.009343751078747e-06,1.1652250022146014e-05,False
ALP-SU2L,4.841176470588235,10.0,resolved,2.0,18.505340431619867,7.102239790227848e-06,4.20144897884649e-06,1.1171797559496885e-05,False
ALP-SU2L,4.864705882352941,10.0,resolved,2.0,12.175324779757664,7.102239790227848e-06,5.376668701702306e-06,9.112477244102073e-06,False
ALP-SU2L,4.8706,10.0,resolved,2.0,11.204160570943246,7.102239790227848e-06,5.750353716278563e-06,8.623112839159125e-06,False
ALP-SU2L,4.8765,10.0,resolved,2.0,10.42509340075232,7.102239790227848e-06,6.399960793695265e-06,7.709341269381261e-06,False
ALP-SU2L,4.880611210494625,10.0,interpolated_closing_point,,10.0,7.102239790227855e-06,7.102239790227855e-06,7.102239790227855e-06,True
ALP-SU2L,4.8824,10.0,outside_mass_reach,0.0,9.820495562822552,7.102239790227848e-06,,,False
ALP-SU2L,4.888235294117647,10.0,outside_mass_reach,0.0,9.26006125022224,7.102239790227848e-06,,,False
ALP-SU2L,4.911764705882352,10.0,outside_mass_reach,0.0,8.156909407012982,7.102239790227848e-06,,,False
ALP-SU2L,4.935294117647058,10.0,outside_mass_reach,0.0,7.6764661763884465,7.102239790227848e-06,,,False
ALP-SU2L,4.958823529411765,10.0,outside_mass_reach,0.0,7.248043240292703,7.102239790227848e-06,,,False
ALP-SU2L,4.982352941176471,10.0,outside_mass_reach,0.0,6.8417558533662906,7.102239790227848e-06,,,False
ALP-SU2L,5.005882352941176,10.0,outside_mass_reach,0.0,6.285710385584825,7.102239790227848e-06,,,False
ALP-SU2L,5.029411764705882,10.0,outside_mass_reach,0.0,5.593806574227054,7.102239790227848e-06,,,False
ALP-SU2L,5.052941176470588,10.0,outside_mass_reach,0.0,4.825873101348361,7.102239790227848e-06,,,False
ALP-SU2L,5.076470588235294,10.0,outside_mass_reach,0.0,4.044818631334886,7.102239790227848e-06,,,False
ALP-SU2L,5.1,10.0,outside_mass_reach,0.0,3.35100020994933,7.102239790227848e-06,,,False
ALP-SU2L,0.01,30.0,upper_boundary_above_scan,1.0,37109978678254.336,1.475238711134399,0.0008094217804344158,,False
ALP-SU2L,0.0113568145534923,30.0,upper_boundary_above_scan,1.0,22654750297436.09,1.235371452702448,0.0007120916857033193,,False
ALP-SU2L,0.0128977236802415,30.0,upper_boundary_above_scan,1.0,13436808302162.996,1.0345055445153106,0.0006266855591710301,,False
ALP-SU2L,0.0146477055998689,30.0,upper_boundary_above_scan,1.0,8159412776381.136,0.7254430849431621,0.0005519025662079656,,False
ALP-SU2L,0.0166351276131863,30.0,upper_boundary_above_scan,1.0,4903497920606.829,0.6074892632189962,0.00048608329034205167,,False
ALP-SU2L,0.0188922059376636,30.0,upper_boundary_above_scan,1.0,2932525130017.165,0.425999539118871,0.00042851428283768205,,False
ALP-SU2L,0.0214555279340432,30.0,resolved,2.0,1775571822270.994,0.3567339072109715,0.0003766766959669158,2.5981404374175536,False
ALP-SU2L,0.0243666451894203,30.0,resolved,2.0,1057909455869.5356,0.250158297867997,0.0003316029579767054,1.98813998967359,False
ALP-SU2L,0.0276727470706993,30.0,resolved,2.0,638641079407.8031,0.2094836703445237,0.00029201156245259487,1.530169870962042,False
